Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02246,Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Unknown,Unknown,Unknown,NAPA,Non-Fatal,Substantial,Airplane,N731NZ,Cessna,P210N,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,09-01-1983
20020917X01995,Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Unknown,Unknown,Unknown,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,09-01-1983
20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Unknown,Unknown,DWH,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,09-01-1983
20020917X02283,Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Unknown,Unknown,Unknown,DILLINGHAM,Non-Fatal,Substantial,Airplane,N5639V,Cessna,305 (L-19),No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-01-1983
20020917X01981,Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Unknown,Unknown,SBS,ROUTT CITY,Non-Fatal,Substantial,Airplane,N2195G,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,09-01-1983
20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Unknown,Unknown,Unknown,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Unknown,Unknown,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,10-01-1983
20020917X02158,Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Unknown,Unknown,P06,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,10-01-1983
20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Unknown,Unknown,PWK,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,10-01-1983
20020917X01719,Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Unknown,Unknown,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N3688N,Mooney,M20G,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,10-01-1983
20020917X02305,Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N2644Q,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,4.0,0.0,VMC,Landing,Probable Cause,10-01-1983
20020917X02289,Accident,LAX82FUG05,1982-01-10,"UPLAND, CA",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N234Q,Quickie,1,Yes,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,10-01-1983
20020917X01623,Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N756YN,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Tri-city Air Service,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause,10-01-1983
20020917X01985,Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N7273J,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,11-01-1983
20020917X01965,Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,Unknown,Unknown,Unknown,RIVERTON REGIONAL,Fatal(4),Destroyed,Airplane,N6558A,Cessna,210N,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,4.0,1.0,1.0,0.0,IMC,Takeoff,Probable Cause,11-01-1983
20020917X01982,Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,Unknown,Unknown,28V,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,11-01-1983
20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Unknown,Unknown,AVO,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-01-1983
20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,Unknown,Unknown,ORD,CHICAGO O'HARE INTER'L,Incident,Unknown,Airplane,N31031,Lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause,12-01-1983
20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Unknown,Unknown,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983
20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,3.0,0.0,UNK,Descent,Probable Cause,12-01-1983
